"row_type","scenario","decision_month","candidates","selected","total_candidate_cost","allocated_cost","budget_amount","total_net_ev_selected","budget_utilization","selection_rate","roi_ev_per_cost","delta_cost_vs_prev","delta_ev_vs_prev","incremental_roi_ev_per_cost"
total,"10pct",,42,19,811.8000000000002,338.07,550.9253683811475,34.029395952770955,0.6136402848781372,0.4523809523809524,0.1006578399525866,,,
monthly,"10pct",2017-08-01 00:00:00.000 +0300,3,1,59.45,26.07,32.314546099129004,10.885743243243244,0.8067574249697625,0.3333333333333333,0.4175582371784904,26.07,10.885743243243244,0.4175582371784904
monthly,"10pct",2017-09-01 00:00:00.000 +0300,3,1,52.22,15.0,27.688446218935493,0.9264595959595963,0.541742208334603,0.3333333333333333,0.061763973063973084,15.0,0.9264595959595963,0.061763973063973084
monthly,"10pct",2017-10-01 00:00:00.000 +0300,2,0,60.489999999999995,0.0,33.447406525145766,0.0,0.0,0.0,,0.0,0.0,
monthly,"10pct",2017-12-01 00:00:00.000 +0300,1,0,51.32,0.0,49.42524215239989,0.0,0.0,0.0,,0.0,0.0,
monthly,"10pct",2018-01-01 00:00:00.000 +0300,3,2,46.33,27.259999999999998,40.943188451228956,3.1362916325416332,0.6658006137570792,0.6666666666666666,0.11505105035002323,13.409999999999998,0.8486148648648646,0.06328224197351713
monthly,"10pct",2018-02-01 00:00:00.000 +0300,1,1,20.35,20.35,38.58513258540234,2.2660472972972965,0.5274052111900448,1.0,0.11135367554286468,20.35,2.2660472972972965,0.11135367554286468
monthly,"10pct",2018-03-01 00:00:00.000 +0300,3,2,70.49000000000001,36.79,59.47161976155464,4.954040677040679,0.6186143936806452,0.6666666666666666,0.1346572622190997,11.23,0.3260810810810808,0.029036605617193303
monthly,"10pct",2018-04-01 00:00:00.000 +0300,3,2,73.55,38.47,52.90745832048409,3.101283783783784,0.7271186562576875,0.6666666666666666,0.08061564293693227,38.47,3.101283783783784,0.08061564293693227
monthly,"10pct",2018-05-01 00:00:00.000 +0300,5,2,110.46000000000001,45.64,51.809206403126765,1.329192942942943,0.8809245145520229,0.4,0.02912342118630462,45.64,1.329192942942943,0.02912342118630462
monthly,"10pct",2018-06-01 00:00:00.000 +0300,7,3,102.21000000000001,44.160000000000004,55.93276031452412,1.7014874078624078,0.7895194113731757,0.42857142857142855,0.038530059054855244,23.450000000000003,1.0122137592137592,0.04316476585133301
monthly,"10pct",2018-07-01 00:00:00.000 +0300,8,2,118.94999999999999,38.349999999999994,49.6730099979031,3.493021669396671,0.7720490463859327,0.25,0.09108270324372025,20.449999999999996,1.5989358108108114,0.07818757021079764
monthly,"10pct",2018-08-01 00:00:00.000 +0300,3,3,45.980000000000004,45.980000000000004,58.72735155131336,2.235827702702703,0.7829401256044164,1.0,0.04862609183781433,26.900000000000006,0.7749493243243244,0.028808525067818745
total,"20pct",,42,39,811.8000000000002,764.8600000000001,1101.850736762295,41.2479180999181,0.6941593579612093,0.9285714285714286,0.05392871649702965,,,
monthly,"20pct",2017-08-01 00:00:00.000 +0300,3,3,59.45,59.45,64.62909219825801,12.97410694785695,0.9198643827090983,1.0,0.2182356088790067,33.38,2.0883637046137054,0.06256332248692946
monthly,"20pct",2017-09-01 00:00:00.000 +0300,3,3,52.22,52.22,55.376892437870985,1.3670664073164078,0.9429926039744321,1.0,0.026178981373351357,37.22,0.44060681135681157,0.011837904657625244
monthly,"20pct",2017-10-01 00:00:00.000 +0300,2,2,60.489999999999995,60.489999999999995,66.89481305029153,0.25594594594594655,0.9042554608011776,1.0,0.004231210876937454,60.489999999999995,0.25594594594594655,0.004231210876937454
monthly,"20pct",2017-12-01 00:00:00.000 +0300,1,1,51.32,51.32,98.85048430479978,0.3569763513513511,0.5191679166867583,1.0,0.006955891491647527,51.32,0.3569763513513511,0.006955891491647527
monthly,"20pct",2018-01-01 00:00:00.000 +0300,3,3,46.33,46.33,81.88637690245791,3.669584561834563,0.565783977171047,1.0,0.0792053650298848,19.07,0.5332929292929296,0.02796501988950863
monthly,"20pct",2018-02-01 00:00:00.000 +0300,1,1,20.35,20.35,77.17026517080468,2.2660472972972965,0.2637026055950224,1.0,0.11135367554286468,0.0,0.0,
monthly,"20pct",2018-03-01 00:00:00.000 +0300,3,3,70.49000000000001,70.49000000000001,118.94323952310928,5.03343256893257,0.5926356157997918,1.0,0.07140633520971158,33.70000000000001,0.07939189189189122,0.002355842489373626
monthly,"20pct",2018-04-01 00:00:00.000 +0300,3,3,73.55,73.55,105.81491664096818,3.2116272181272194,0.6950815852320369,1.0,0.04366590371349041,35.08,0.1103434343434353,0.0031454798843624657
monthly,"20pct",2018-05-01 00:00:00.000 +0300,5,4,110.46000000000001,90.62,103.61841280625353,1.5326388888888889,0.8745549902355862,0.8,0.016912810515216165,44.980000000000004,0.2034459459459459,0.004523031257135302
monthly,"20pct",2018-06-01 00:00:00.000 +0300,7,7,102.21000000000001,102.21000000000001,111.86552062904823,2.2453306374556385,0.9136863568438891,1.0,0.02196781760547538,58.050000000000004,0.5438432295932307,0.009368531086877359
monthly,"20pct",2018-07-01 00:00:00.000 +0300,8,6,118.94999999999999,91.85,99.3460199958062,6.0993335722085735,0.9245463482470395,0.75,0.06640537367674006,53.5,2.6063119028119024,0.04871611033293276
monthly,"20pct",2018-08-01 00:00:00.000 +0300,3,3,45.980000000000004,45.980000000000004,117.45470310262672,2.235827702702703,0.3914700628022082,1.0,0.04862609183781433,0.0,0.0,
total,"2pct",,42,0,811.8000000000002,0.0,110.18507367622952,0.0,0.0,0.0,,,,
monthly,"2pct",2017-08-01 00:00:00.000 +0300,3,0,59.45,0.0,6.4629092198258,0.0,0.0,0.0,,,,
monthly,"2pct",2017-09-01 00:00:00.000 +0300,3,0,52.22,0.0,5.537689243787098,0.0,0.0,0.0,,,,
monthly,"2pct",2017-10-01 00:00:00.000 +0300,2,0,60.489999999999995,0.0,6.689481305029154,0.0,0.0,0.0,,,,
monthly,"2pct",2017-12-01 00:00:00.000 +0300,1,0,51.32,0.0,9.885048430479978,0.0,0.0,0.0,,,,
monthly,"2pct",2018-01-01 00:00:00.000 +0300,3,0,46.33,0.0,8.188637690245791,0.0,0.0,0.0,,,,
monthly,"2pct",2018-02-01 00:00:00.000 +0300,1,0,20.35,0.0,7.717026517080468,0.0,0.0,0.0,,,,
monthly,"2pct",2018-03-01 00:00:00.000 +0300,3,0,70.49000000000001,0.0,11.894323952310929,0.0,0.0,0.0,,,,
monthly,"2pct",2018-04-01 00:00:00.000 +0300,3,0,73.55,0.0,10.581491664096818,0.0,0.0,0.0,,,,
monthly,"2pct",2018-05-01 00:00:00.000 +0300,5,0,110.46000000000001,0.0,10.361841280625352,0.0,0.0,0.0,,,,
monthly,"2pct",2018-06-01 00:00:00.000 +0300,7,0,102.21000000000001,0.0,11.186552062904823,0.0,0.0,0.0,,,,
monthly,"2pct",2018-07-01 00:00:00.000 +0300,8,0,118.94999999999999,0.0,9.93460199958062,0.0,0.0,0.0,,,,
monthly,"2pct",2018-08-01 00:00:00.000 +0300,3,0,45.980000000000004,0.0,11.745470310262672,0.0,0.0,0.0,,,,
total,"5pct",,42,5,811.8000000000002,97.1,275.4626841905737,10.959874249249253,0.35249783572435955,0.11904761904761904,0.1128720314031849,,,
monthly,"5pct",2017-08-01 00:00:00.000 +0300,3,0,59.45,0.0,16.157273049564502,0.0,0.0,0.0,,0.0,0.0,
monthly,"5pct",2017-09-01 00:00:00.000 +0300,3,0,52.22,0.0,13.844223109467746,0.0,0.0,0.0,,0.0,0.0,
monthly,"5pct",2017-10-01 00:00:00.000 +0300,2,0,60.489999999999995,0.0,16.723703262572883,0.0,0.0,0.0,,0.0,0.0,
monthly,"5pct",2017-12-01 00:00:00.000 +0300,1,0,51.32,0.0,24.712621076199945,0.0,0.0,0.0,,0.0,0.0,
monthly,"5pct",2018-01-01 00:00:00.000 +0300,3,1,46.33,13.85,20.471594225614478,2.2876767676767686,0.6765472120715736,0.3333333333333333,0.16517521788279918,13.85,2.2876767676767686,0.16517521788279918
monthly,"5pct",2018-02-01 00:00:00.000 +0300,1,0,20.35,0.0,19.29256629270117,0.0,0.0,0.0,,0.0,0.0,
monthly,"5pct",2018-03-01 00:00:00.000 +0300,3,1,70.49000000000001,25.56,29.73580988077732,4.627959595959598,0.8595696603684311,0.3333333333333333,0.18106258200154923,25.56,4.627959595959598,0.18106258200154923
monthly,"5pct",2018-04-01 00:00:00.000 +0300,3,0,73.55,0.0,26.453729160242045,0.0,0.0,0.0,,0.0,0.0,
monthly,"5pct",2018-05-01 00:00:00.000 +0300,5,0,110.46000000000001,0.0,25.904603201563383,0.0,0.0,0.0,,0.0,0.0,
monthly,"5pct",2018-06-01 00:00:00.000 +0300,7,1,102.21000000000001,20.71,27.96638015726206,0.6892736486486486,0.7405320203595321,0.14285714285714285,0.033282165555222044,20.71,0.6892736486486486,0.033282165555222044
monthly,"5pct",2018-07-01 00:00:00.000 +0300,8,1,118.94999999999999,17.9,24.83650499895155,1.8940858585858598,0.7207133210069464,0.125,0.10581485243496425,17.9,1.8940858585858598,0.10581485243496425
monthly,"5pct",2018-08-01 00:00:00.000 +0300,3,1,45.980000000000004,19.08,29.36367577565668,1.4608783783783788,0.64978240959253,0.3333333333333333,0.07656595274519805,19.08,1.4608783783783788,0.07656595274519805
